ID,SMILES_NS,y1,y2,y3,y4,y5
10490578,C#Cc1cccc(Nc2c(C#N)cnc3nc(NCCN4CCOCC4)sc23)c1,5.48,,,,
12556518,C#Cc1cccc(Nc2c(C#N)cnc3nc(Nc4ccc(CN(C)C)cc4)sc23)c1,7.25,,,,
12556519,C#Cc1cccc(Nc2c(C#N)cnc3nc(Nc4ccc(CN5CCC[C@H]5CO)cc4)sc23)c1,7.38,,,,
12556520,C#Cc1cccc(Nc2c(C#N)cnc3nc(Nc4ccc(S(=O)(=O)NCCCN(C)C)cc4)sc23)c1,7.69,,,,
24154606,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C)c(CCCN4CCOCC4)c2C)C(=O)N3)c1,6.74,,,,
29646180,C#Cc1cccc(Nc2ncnc3cc(OC(C)C)c4c(c23)OCCO4)c1,5.26,,,,
22173903,C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)N4C[C@H]5CCN(C)[C@H]5C4)cc23)c1,8.22,,,,
13122626,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,7.75,,,,
29646187,C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c4c(c23)OCCO4)c1,5.07,,,,
29646189,C#Cc1cccc(Nc2ncnc3cc(OC4CCOCC4)c4c(c23)OCCO4)c1,5.83,,,,
25159860,C#Cc1cccc(Nc2ncnc3cc(OCC)c(C#CC(C)(C)N4CCN(CCC#N)CC4)cc23)c1,8.74,,,,
29646159,C#Cc1cccc(Nc2ncnc3cc(OCC)c4c(c23)OCCO4)c1,5.05,,,,
26428484,C#Cc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C(=C)F)cc23)c1,5.92,,,,
32718218,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(NC(=O)c4ccc(F)c([N+](=O)[O-])c4)cc23)c1,6.42,,,,
32718220,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(NC(=O)c4ccc(I)c([N+](=O)[O-])c4)cc23)c1,5.74,,,,
8813963,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,9.0,,,,
27337376,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(C)C)CCO4)c1,7.34,,,,
27337371,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCC(C)CC2)CCO4)c1,7.09,,,,
27337370,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCC2)CCO4)c1,7.22,,,,
27337372,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2C)CCO4)c1,7.17,,,,
27337375,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCN(C)CC2)CCO4)c1,6.11,,,,
27337369,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCOCC2)CCO4)c1,6.19,,,,
26560914,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN(C)C)CCO4)c1,7.34,,,,
26560909,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCC(C)CC2)CCO4)c1,7.09,,,,
26560906,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCCC2)CCO4)c1,7.22,,,,
26560910,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCCCC2C)CCO4)c1,7.17,,,,
26560913,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCN(C)CC2)CCO4)c1,6.11,,,,
26560896,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCOCC2)CCO4)c1,6.19,,,,
29887553,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(CCCN2CCOCC2)C(=O)CO4)c1,5.12,,,,
12989052,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,5.58,,,,
19062993,C#Cc1cccc(Nc2ncnc3ccc(NC(=O)C=C4CCN(C)CC4)cc23)c1,6.24,,,,
19063019,C#Cc1cccc(Nc2ncnc3ccc(NC(=O)C=C4CCN(CCOC)CC4)cc23)c1,6.4,,,,
18934018,C#Cc1cccc(Nc2ncnc3ccc(NC(=O)C=C4CCNCC4)cc23)c1,6.82,,,,
19660163,C#Cc1cccc(Nc2ncnc3nc(Nc4ccc(CN5CCOCC5)cc4)sc23)c1,7.52,,,,
24310556,C#Cc1cccc(Nc2ncnc3nc(Nc4ccc(OC)nc4)sc23)c1,4.54,,,,
28743445,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/CN(C)C)c(C)c23)c1,7.92,,,,
28743450,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/CN(CC)CC)c(C)c23)c1,7.49,,,,
28743441,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/CN4CCC(C)CC4)c(C)c23)c1,7.64,,,,
28743453,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/CN4CCCCC4)c(C)c23)c1,7.24,,,,
28743449,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/CN4CCCCC4C)c(C)c23)c1,7.62,,,,
28743443,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/CN4CCN(C)CC4)c(C)c23)c1,7.66,,,,
28743451,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/CN4CCOCC4)c(C)c23)c1,7.23,,,,
28743447,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/Cn4ccnc4)c(C)c23)c1,6.57,,,,
2110104,C/C(=C\c1ccc(O)c(O)c1)[N+](=O)[O-],5.03,,,,
24344899,C/C(C(=O)Nc1ccccc1)=C(/C)C(=O)c1ccccc1,4.42,,,,
6655982,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,5.27,,,,
13773374,C/C(O)=C(\C#N)C(=O)Nc1ccc(OC(F)(F)F)cc1,5.77,,,,
8488732,C/C(O)=C(\C#N)C(=O)Nc1ccccc1F,4.13,,,,
24646711,C/C=C/C(=O)N1CCCC[C@@H](n2c(NC(=O)c3cc(C)nc(C)c3)nc3cc(CN4CC[C@H](OC)C4)cc(C)c32)C1,5.34,,,,
24646747,C/C=C/C(=O)N1CCCC[C@@H](n2c(NC(=O)c3cc(C)nc(C)c3)nc3ccc(OCCN4CCCC4)c(Cl)c32)C1,5.15,,,,
24646713,C/C=C/C(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnc(C)c3)nc3cc(CN4CCCC4)cc(C)c32)C1,5.64,,,,
24646716,C/C=C/C(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnc(C)c3)nc3cc(CN4CC[C@H](F)C4)cc(C)c32)C1,5.81,,,,
